"_id","_labels","party_movement_betweenness","all_betweenness","country","all_movement_betweenness","title","influence","active","name","community","party_community","betweenness","all_party_betweenness","total","europarty","established","seats","votes","ideology","active_movement_betweenness","_start","_end","_type"
"320",":Movement","0","0","France","0","mouvement_ouvrier_social_national_breton","Fascism, Breton separatist","No","Mouvement Ouvrier Social-National Breton","","","","","","","","","","","",,,
"321",":Movement","0","0","France","0","parti_nationaliste_fran?ais_et_europ?en","Neo-nazi","No","Parti Nationaliste Français et Européen","","","","","","","","","","","",,,
"322",":Movement","0","0","France","0","parti_populaire_fran?ais","Independent","No","Parti Populaire Français","","","","","","","","","","","",,,
"323",":Movement","0","0","France","0","phalange_fran?aise","Falangism","No","Phalange Française","","","","","","","","","","","",,,
"324",":Movement","0","0","France","0","troisi?me_voie","Third Position","No","Troisième voie","","","","","","","","","","","",,,
"325",":Movement","0","0","Germany","0","action_front_of_national_socialists/national_activists","Nazism","No","Action Front of National Socialists/National Activists","","","","","","","","","","","",,,
"326",":Movement","0","0","Germany","0","free_german_workers'_party_[1]","Neo-Nazism/Strasserism","No","Free German Workers' Party [1]","","","","","","","","","","","",,,
"327",":Movement","0","0","Germany","0","national_socialist_german_workers_party","Nazism","No","National Socialist German Workers Party","","","","","","","","","","","",,,
"328",":Movement","0","0","Germany","0","nationalist_front_[2]","Strasserism","No","Nationalist Front [2]","","","","","","","","","","","",,,
"329",":Movement","0","572.6953268562548","Germany","189.79022214287562","national_democratic_party_of_germany","Neo-Nazism (tendency)","Yes","National Democratic Party of Germany","","","","","","","","","","","7.999999999999999",,,
"330",":Movement","0","0","Germany","0","socialist_reich_party","Neo-Nazism","No","Socialist Reich Party","","","","","","","","","","","",,,
"331",":Movement","0","0","Greece","0","greek_national_socialist_party_[3]","Nazism","No","Greek National Socialist Party [3]","","","","","","","","","","","",,,
"332",":Movement","0","0","Greece","0","national_union_of_greece_[4]","independent","No","National Union of Greece [4]","","","","","","","","","","","",,,
"333",":Movement","0","0","Greece","0","party_of_free_opinion_[5]","Metaxism","No","Party of Free Opinion [5]","","","","","","","","","","","",,,
"334",":Movement","0","0","Greece","0","golden_dawn","Metaxism,[6][7][8] Neo-Nazism","Yes","Golden Dawn","","","","","","","","","","","0",,,
"335",":Movement","0","514.5591571904748","Hungary","460.66532842802184","arrow_cross_party","Hungarist","No","Arrow Cross Party","","","","","","","","","","","",,,
"336",":Movement","0","0","Hungary","0","hungarian_national_socialist_agricultural_labourers'_and_workers'_party","Nazism","No","Hungarian National Socialist Agricultural Labourers' and Workers' Party","","","","","","","","","","","",,,
"337",":Movement","0","0","Hungary","0","united_hungarian_national_socialist_party","Nazism","No","United Hungarian National Socialist Party","","","","","","","","","","","",,,
"338",":Movement","0","0","Hungary","0","christian_national_socialist_front","Nazism","No","Christian National Socialist Front","","","","","","","","","","","",,,
"339",":Movement","0","0","Hungary","0","hungarian_national_defence_association_[3]","independent/Italian Fascism","No","Hungarian National Defence Association [3]","","","","","","","","","","","",,,
"340",":Movement","0","0","Hungary","0","hungarian_national_socialist_party_[3]","independent/Nazism","No","Hungarian National Socialist Party [3]","","","","","","","","","","","",,,
